,subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,proportion_voxels,threshold,averaged_localizer_runs,averaged_response_runs
0,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,0.3840384933238404,0.2653058030794673,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
1,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,0.3840384933238404,0.28314080553492693,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
2,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,0.3840384933238404,0.11436436460116965,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
3,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,0.3840384933238404,0.12788712147257034,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
4,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,0.9023798159785325,0.24343420573848465,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
5,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,0.9023798159785325,0.18329291621754554,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
6,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,0.9023798159785325,0.0503763209816517,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
7,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,0.9023798159785325,0.06465255506373663,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
8,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,0.5957550790834993,0.284999610300515,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
9,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,0.5957550790834993,0.28917264917451474,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
10,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,0.5957550790834993,0.1237206540003629,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
11,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,0.5957550790834993,0.12282693019894986,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
12,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,0.4467629690469576,0.23418433248513637,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
13,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,0.4467629690469576,0.2849725645250278,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
14,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,0.4467629690469576,0.11074653358046649,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
15,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,0.4467629690469576,0.10972922597269193,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
16,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,-0.10336649304963828,0.2653058030794673,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
17,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,-0.10336649304963828,0.28314080553492693,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
18,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,-0.10336649304963828,0.11436436460116965,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
19,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,-0.10336649304963828,0.12788712147257034,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
20,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,0.3198768541556969,0.24343420573848465,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
21,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,0.3198768541556969,0.18329291621754554,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
22,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,0.3198768541556969,0.0503763209816517,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
23,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,0.3198768541556969,0.06465255506373663,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
24,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,0.13281427100771315,0.284999610300515,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
25,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,0.13281427100771315,0.28917264917451474,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
26,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,0.13281427100771315,0.1237206540003629,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
27,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,0.13281427100771315,0.12282693019894986,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
28,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,-0.46831454875024403,0.23418433248513637,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
29,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,-0.46831454875024403,0.2849725645250278,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
30,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,-0.46831454875024403,0.11074653358046649,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
31,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,-0.46831454875024403,0.10972922597269193,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
32,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,4.798225995801658,0.3464169062277566,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
33,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,4.798225995801658,0.2614959847160981,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
34,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,4.798225995801658,0.12360816647978658,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
35,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,4.798225995801658,0.12382452092956771,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
36,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,2.7714715322754615,0.3603602280637472,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
37,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,2.7714715322754615,0.21419132330743115,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
38,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,2.7714715322754615,0.10294741187213856,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
39,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,2.7714715322754615,0.11741909254521236,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
40,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,5.689365957380059,0.3464169062277566,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
41,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,5.689365957380059,0.2614959847160981,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
42,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,5.689365957380059,0.12360816647978658,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
43,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,5.689365957380059,0.12382452092956771,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
44,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,3.1199303913132557,0.3603602280637472,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
45,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,3.1199303913132557,0.21419132330743115,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
46,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,3.1199303913132557,0.10294741187213856,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
47,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,3.1199303913132557,0.11741909254521236,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
48,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_attention,1.935021737686106,0.334338234823012,0.07595742042581244,0.3033333333333333,4.858594898194185,"12,23,13","3,1,2"
49,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_attention,1.935021737686106,0.2281423206813494,0.07595742042581244,0.3033333333333333,4.858594898194185,"12,23,13","3,1,2"
50,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SimCLR_embedding,1.935021737686106,0.08155843506061695,0.07595742042581244,0.3033333333333333,4.858594898194185,"12,23,13","3,1,2"
51,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,SLIP_embedding,1.935021737686106,0.09131871437878643,0.07595742042581244,0.3033333333333333,4.858594898194185,"12,23,13","3,1,2"
