,subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,num_voxels,proportion_voxels,threshold,averaged_localizer_runs,averaged_response_runs
0,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR,NA,4.798225995801658,0.1945633392647462,0.11603178751888844,81.33333333333333,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
1,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR,NA,2.7714715322754615,0.15316614049145902,0.10905008863572009,90.66666666666667,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
2,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP,NA,4.798225995801658,0.2053474031713147,0.11603178751888844,81.33333333333333,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
3,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP,NA,2.7714715322754615,0.17495922010976409,0.10905008863572009,90.66666666666667,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
4,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext,NA,4.798225995801658,0.19613545109148545,0.11603178751888844,81.33333333333333,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
5,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext,NA,2.7714715322754615,0.16196352457793056,0.10905008863572009,90.66666666666667,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
6,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,4.798225995801658,0.2124003740798522,0.11603178751888844,81.33333333333333,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
7,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,2.7714715322754615,0.18648660556438088,0.10905008863572009,90.66666666666667,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
8,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR,NA,5.689365957380059,0.1945633392647462,0.11603178751888844,81.33333333333333,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
9,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR,NA,3.1199303913132557,0.15316614049145902,0.10905008863572009,90.66666666666667,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
10,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP,NA,5.689365957380059,0.2053474031713147,0.11603178751888844,81.33333333333333,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
11,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP,NA,3.1199303913132557,0.17495922010976409,0.10905008863572009,90.66666666666667,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
12,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext,NA,5.689365957380059,0.19613545109148545,0.11603178751888844,81.33333333333333,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
13,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext,NA,3.1199303913132557,0.16196352457793056,0.10905008863572009,90.66666666666667,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
14,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,5.689365957380059,0.2124003740798522,0.11603178751888844,81.33333333333333,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
15,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,3.1199303913132557,0.18648660556438088,0.10905008863572009,90.66666666666667,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
16,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR,NA,0.3840384933238404,0.18398316349927143,0.07304672729642424,146.0,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
17,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR,NA,0.9023798159785325,0.11912423841681123,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
18,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR,NA,0.5957550790834993,0.2240315020420858,0.06588068789817825,154.0,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
19,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR,NA,0.4467629690469576,0.23998910556341582,0.08042553863408669,107.66666666666667,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
20,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP,NA,0.3840384933238404,0.19312456645471446,0.07304672729642424,146.0,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
21,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP,NA,0.9023798159785325,0.1316767610264166,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
22,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP,NA,0.5957550790834993,0.25772817316042346,0.06588068789817825,154.0,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
23,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP,NA,0.4467629690469576,0.2735333042061285,0.08042553863408669,107.66666666666667,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
24,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext,NA,0.3840384933238404,0.20547931902974734,0.07304672729642424,146.0,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
25,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext,NA,0.9023798159785325,0.2086644484847784,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
