,subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,proportion_voxels,threshold,averaged_localizer_runs,averaged_response_runs
0,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext,SimCLR_attention,5.689365957380059,0.3580545274802211,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
1,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext,SLIP_attention,5.689365957380059,0.3509677722357217,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
2,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext,SimCLR_embedding,5.689365957380059,0.143381243282416,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
3,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext,SLIP_embedding,5.689365957380059,0.11323482708613865,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
4,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext,SLIPtext,5.689365957380059,0.034359014240779494,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
5,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext,SimCLR_attention,3.1199303913132557,0.4015729681446642,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
6,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext,SLIP_attention,3.1199303913132557,0.2863720275323783,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
7,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext,SimCLR_embedding,3.1199303913132557,0.13648009492062582,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
8,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext,SLIP_embedding,3.1199303913132557,0.13869888858206156,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
9,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext,SLIPtext,3.1199303913132557,0.03686928621556551,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
10,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext,SimCLR_attention,4.798225995801658,0.3580545274802211,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
11,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext,SLIP_attention,4.798225995801658,0.3509677722357217,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
12,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext,SimCLR_embedding,4.798225995801658,0.143381243282416,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
13,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext,SLIP_embedding,4.798225995801658,0.11323482708613865,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
14,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext,SLIPtext,4.798225995801658,0.034359014240779494,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
15,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext,SimCLR_attention,2.7714715322754615,0.4015729681446642,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
16,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext,SLIP_attention,2.7714715322754615,0.2863720275323783,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
17,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext,SimCLR_embedding,2.7714715322754615,0.13648009492062582,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
18,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext,SLIP_embedding,2.7714715322754615,0.13869888858206156,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
19,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext,SLIPtext,2.7714715322754615,0.03686928621556551,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
20,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext,SimCLR_attention,-0.10336649304963828,0.27950638096268915,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
21,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext,SLIP_attention,-0.10336649304963828,0.2919700584987738,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
22,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext,SimCLR_embedding,-0.10336649304963828,0.1483590911090038,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
23,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext,SLIP_embedding,-0.10336649304963828,0.1143470288855919,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
24,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext,SLIPtext,-0.10336649304963828,0.16581524356903976,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
25,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext,SimCLR_attention,0.3198768541556969,0.17647343973455143,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
26,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext,SLIP_attention,0.3198768541556969,0.2610397243075359,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
27,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext,SimCLR_embedding,0.3198768541556969,0.06659866241038687,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
28,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext,SLIP_embedding,0.3198768541556969,0.06363805110175165,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
29,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext,SLIPtext,0.3198768541556969,0.4322460289791789,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
