,subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,proportion_voxels,threshold,averaged_localizer_runs,averaged_response_runs
0,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,word2vec,4.798225995801658,0.00844098448942663,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
1,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,4.798225995801658,0.0017037354044304196,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
2,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIP,4.798225995801658,0.09605110974584079,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
3,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,4.798225995801658,0.10692587846357238,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
4,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,word2vec,2.7714715322754615,0.0069482682594357555,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
5,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,2.7714715322754615,0.001753824660151308,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
6,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIP,2.7714715322754615,0.0756826865092737,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
7,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,2.7714715322754615,0.0974899809614732,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
8,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,word2vec,5.689365957380059,0.00844098448942663,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
9,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,5.689365957380059,0.0017037354044304196,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
10,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIP,5.689365957380059,0.09605110974584079,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
11,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,5.689365957380059,0.10692587846357238,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
12,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,word2vec,3.1199303913132557,0.0069482682594357555,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
13,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,3.1199303913132557,0.001753824660151308,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
14,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIP,3.1199303913132557,0.0756826865092737,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
15,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,3.1199303913132557,0.0974899809614732,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
16,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_word2vec,word2vec,0.3840384933238404,0.006272910060405146,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
17,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,0.3840384933238404,0.02227561630204652,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
18,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIP,0.3840384933238404,0.09590625929152215,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
19,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,0.3840384933238404,0.09644550155555819,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
20,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_word2vec,word2vec,0.9023798159785325,0.015118164463669611,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
21,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,0.9023798159785325,0.06346535253003428,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
22,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIP,0.9023798159785325,0.06799270593933364,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
23,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,0.9023798159785325,0.06583816944989375,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
24,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_word2vec,word2vec,0.5957550790834993,0.008929962563686776,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
25,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,0.5957550790834993,0.01873562278674279,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
26,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIP,0.5957550790834993,0.13649226014433047,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
27,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,0.5957550790834993,0.12076300816732277,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
28,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_word2vec,word2vec,0.4467629690469576,0.012809084548474042,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
29,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,0.4467629690469576,0.035347813893428705,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
30,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIP,0.4467629690469576,0.15746094864763913,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
31,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,0.4467629690469576,0.1167206227075676,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
32,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_word2vec,word2vec,-0.10336649304963828,0.006272910060405146,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
33,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,-0.10336649304963828,0.02227561630204652,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
34,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIP,-0.10336649304963828,0.09590625929152215,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
35,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,-0.10336649304963828,0.09644550155555819,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
36,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_word2vec,word2vec,0.3198768541556969,0.015118164463669611,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
37,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,0.3198768541556969,0.06346535253003428,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
38,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIP,0.3198768541556969,0.06799270593933364,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
39,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,0.3198768541556969,0.06583816944989375,0.14896995639221536,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
40,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_word2vec,word2vec,0.13281427100771315,0.008929962563686776,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
41,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,0.13281427100771315,0.01873562278674279,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
42,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIP,0.13281427100771315,0.13649226014433047,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
43,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,0.13281427100771315,0.12076300816732277,0.06588068789817825,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
44,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_word2vec,word2vec,-0.46831454875024403,0.012809084548474042,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
45,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,-0.46831454875024403,0.035347813893428705,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
46,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SLIP,-0.46831454875024403,0.15746094864763913,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
47,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_word2vec,SimCLR,-0.46831454875024403,0.1167206227075676,0.08042553863408669,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
48,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,word2vec,2.4689771162342264,0.009092745511441918,0.10249498653190736,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
49,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIPtext,2.4689771162342264,0.0013531499826006125,0.10249498653190736,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
50,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,SLIP,2.4689771162342264,0.15363348922535547,0.10249498653190736,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
