,subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,proportion_voxels,threshold,averaged_localizer_runs,averaged_response_runs
0,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR,NA,4.798225995801658,0.1945633392647462,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
1,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR,NA,2.7714715322754615,0.15316614049145902,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
2,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SLIP,NA,4.798225995801658,0.19206177777948483,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
3,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SLIP,NA,2.7714715322754615,0.15949911996899305,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
4,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP,NA,4.798225995801658,0.2053474031713147,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
5,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP,NA,2.7714715322754615,0.17495922010976409,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
6,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_100ep,NA,4.798225995801658,0.21170224916906377,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
7,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_100ep,NA,2.7714715322754615,0.17514871467849305,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
8,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext,NA,4.798225995801658,0.20516207935062283,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
9,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext,NA,2.7714715322754615,0.17280326265164045,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
10,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_100ep,NA,4.798225995801658,0.2116364385729778,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
11,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_100ep,NA,2.7714715322754615,0.180807468592495,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
12,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_word2vec,NA,4.798225995801658,0.2054515122394727,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
13,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_word2vec,NA,2.7714715322754615,0.17726654836753775,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
14,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,4.798225995801658,0.211797760156382,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
15,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,2.7714715322754615,0.1867309805837443,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
16,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR,NA,5.689365957380059,0.1945633392647462,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
17,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR,NA,3.1199303913132557,0.15316614049145902,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
18,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SLIP,NA,5.689365957380059,0.19206177777948483,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
19,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SLIP,NA,3.1199303913132557,0.15949911996899305,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
20,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP,NA,5.689365957380059,0.2053474031713147,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
21,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP,NA,3.1199303913132557,0.17495922010976409,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
