,subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,proportion_voxels,threshold,averaged_localizer_runs,averaged_response_runs
0,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP,SLIP,4.798225995801658,0.08958681142309792,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
1,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP,SimCLR,4.798225995801658,0.1215393964098674,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
2,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP,SLIP,2.7714715322754615,0.06648203327369377,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
3,sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP,SimCLR,2.7714715322754615,0.11146013252288489,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
4,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP,SLIP,5.689365957380059,0.08958681142309792,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
5,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP,SimCLR,5.689365957380059,0.1215393964098674,0.11603178751888844,0.4728682170542636,10.270935323627342,"12,23,13","3,1,2"
6,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP,SLIP,3.1199303913132557,0.06648203327369377,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
7,sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP,SimCLR,3.1199303913132557,0.11146013252288489,0.10905008863572009,0.5271317829457365,10.270935323627342,"12,23,13","3,1,2"
8,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP,SLIP,0.3840384933238404,0.08986505931614353,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
9,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP,SimCLR,0.3840384933238404,0.10633435381873901,0.07304672729642424,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
